[20151023,41699]
[20151022,41522]
[20151021,41619]
[20151020,41810]
[20151019,41985]
[20151016,42502]
[20151015,42215]
[20151014,42212]
[20151013,42689]
[20151012,42611]
[20151009,42114]
[20151008,41799]
[20150930,41091]
[20150929,41468]
